epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,3220.91,0.54648,0.29437,0.82129,0.92733,0.74286,0.81503,0.60102,0.93769,0.92641,0.9544,0.0003104,0.0003104,0.0003104
130,3245.83,0.52722,0.29589,0.82257,0.91472,0.74643,0.80316,0.59024,0.93903,0.9092,0.9575,0.0002972,0.0002972,0.0002972
131,3270.65,0.52731,0.27714,0.81645,0.91101,0.74524,0.80261,0.59438,0.93639,0.92827,0.95223,0.000284,0.000284,0.000284
132,3295.53,0.52982,0.27653,0.81886,0.89503,0.76131,0.81204,0.59839,0.92738,0.91811,0.95705,0.0002708,0.0002708,0.0002708
133,3320.4,0.53105,0.28427,0.82026,0.90774,0.75357,0.80737,0.60158,0.92161,0.90445,0.95379,0.0002576,0.0002576,0.0002576
134,3345.33,0.52224,0.27258,0.81728,0.91008,0.74704,0.80375,0.59837,0.92295,0.87475,0.95541,0.0002444,0.0002444,0.0002444
135,3370.26,0.51894,0.26957,0.81546,0.90459,0.76071,0.81064,0.60894,0.9,0.8991,0.94908,0.0002312,0.0002312,0.0002312
136,3395.22,0.51217,0.268,0.81806,0.91933,0.74881,0.81758,0.61189,0.91007,0.90412,0.94966,0.000218,0.000218,0.000218
137,3420.22,0.50833,0.26509,0.81901,0.92669,0.73734,0.81433,0.61223,0.91123,0.89822,0.94635,0.0002048,0.0002048,0.0002048
138,3445.05,0.50653,0.26292,0.81546,0.91656,0.75847,0.82304,0.62173,0.90499,0.90187,0.94761,0.0001916,0.0001916,0.0001916
139,3470.04,0.51641,0.26556,0.82175,0.9017,0.76439,0.82068,0.61642,0.91434,0.88192,0.95158,0.0001784,0.0001784,0.0001784
140,3494.83,0.51394,0.26572,0.81516,0.91512,0.75726,0.81801,0.61514,0.90793,0.87765,0.95057,0.0001652,0.0001652,0.0001652
